timestamp,gpu_0_power_w,total_power_w
1769561797.1054385,198.441,198.441
1769561797.630581,195.766,195.766
1769561798.1609285,202.358,202.358
1769561798.6996577,198.828,198.828
1769561799.2445385,194.767,194.767
1769561799.7482247,188.31,188.31
1769561800.2520156,186.511,186.511
1769561800.7998354,195.748,195.748
1769561801.3160899,195.894,195.894
1769561801.8328233,200.704,200.704
1769561802.338974,198.223,198.223
1769561802.8715553,191.477,191.477
1769561803.3771396,195.524,195.524
1769561803.8816667,196.764,196.764
1769561804.385439,198.634,198.634
1769561804.9280765,199.483,199.483
1769561805.4537978,200.731,200.731
1769561805.9800825,200.992,200.992
1769561806.5000713,200.311,200.311
1769561807.011936,199.492,199.492
1769561807.550656,196.523,196.523
1769561808.076968,196.366,196.366
1769561808.5915515,201.699,201.699
1769561809.0962408,201.68,201.68
1769561809.6348753,203.795,203.795
1769561810.1533442,198.976,198.976
1769561810.6632028,203.093,203.093
1769561811.1842155,202.954,202.954
1769561811.7100146,198.705,198.705
1769561812.2223954,200.087,200.087
1769561812.7328181,202.996,202.996
1769561813.2779448,203.865,203.865
1769561813.799892,203.119,203.119
1769561814.3059273,199.247,199.247
1769561814.809754,199.768,199.768
1769561815.330494,200.75,200.75
1769561815.8634849,196.907,196.907
1769561816.370145,201.759,201.759
1769561816.8848064,203.115,203.115
1769561817.4047081,196.905,196.905
1769561817.9078312,195.718,195.718
1769561818.4460127,201.661,201.661
1769561818.9476302,197.986,197.986
1769561819.461802,195.015,195.015
1769561819.9811862,201.641,201.641
1769561820.514306,197.306,197.306
1769561821.014989,193.858,193.858
1769561821.5476751,195.109,195.109
1769561822.0934792,199.601,199.601
1769561822.6183314,199.45,199.45
1769561823.1658328,200.709,200.709
1769561823.6984503,199.487,199.487
1769561824.2273414,195.701,195.701
1769561824.7678528,199.116,199.116
1769561825.3059425,193.459,193.459
1769561825.8344502,195.173,195.173
1769561826.334898,197.229,197.229
1769561826.9221315,192.275,192.275
1769561827.464914,192.332,192.332
