timestamp,gpu_0_power_w,total_power_w
1769378311.257735,426.997,426.997
1769378311.8029015,431.003,431.003
1769378312.3036385,434.641,434.641
1769378312.8038442,456.953,456.953
1769378313.32558,431.083,431.083
1769378313.8263578,375.908,375.908
1769378314.358085,371.451,371.451
1769378314.858631,415.26,415.26
1769378315.3622556,418.156,418.156
1769378315.9003232,414.224,414.224
1769378316.4005506,430.529,430.529
1769378316.9032605,416.578,416.578
1769378317.441396,419.497,419.497
1769378317.9760053,425.331,425.331
1769378318.4852102,427.028,427.028
1769378318.98672,414.297,414.297
1769378319.536595,428.359,428.359
1769378320.0368369,415.771,415.771
1769378320.539059,432.507,432.507
1769378321.0879946,438.818,438.818
1769378321.5889823,425.737,425.737
1769378322.1057441,412.549,412.549
1769378322.6550138,425.069,425.069
1769378323.1555958,415.885,415.885
1769378323.658259,438.531,438.531
1769378324.175394,448.828,448.828
1769378324.6759682,425.566,425.566
1769378325.1761212,431.712,431.712
1769378325.6855028,435.919,435.919
1769378326.186204,410.413,410.413
1769378326.686409,398.281,398.281
1769378327.1922104,413.199,413.199
1769378327.692788,420.904,420.904
1769378328.2152176,407.962,407.962
1769378328.7172463,423.723,423.723
1769378329.2181227,430.972,430.972
1769378329.762984,436.052,436.052
1769378330.2631161,432.854,432.854
1769378330.7632942,429.222,429.222
1769378331.2634184,417.112,417.112
1769378331.7782521,427.267,427.267
1769378332.2783813,433.745,433.745
1769378332.820086,410.216,410.216
1769378333.3654764,431.202,431.202
1769378333.865609,442.222,442.222
1769378334.365765,423.639,423.639
1769378334.8883293,451.476,451.476
1769378335.4208267,452.34,452.34
1769378335.96327,441.765,441.765
1769378336.4633758,442.44,442.44
1769378336.9674325,421.657,421.657
1769378337.5056415,445.11,445.11
1769378338.0057786,428.433,428.433
1769378338.5059557,428.791,428.791
1769378339.028049,446.387,446.387
1769378339.5725374,436.457,436.457
1769378340.0728137,424.509,424.509
1769378340.580311,413.411,413.411
1769378341.1207452,444.051,444.051
1769378341.621591,419.57,419.57
1769378342.1232762,434.275,434.275
1769378342.650603,440.734,440.734
1769378343.1512182,431.8,431.8
1769378343.6627858,425.983,425.983
1769378344.1633785,428.87,428.87
1769378344.6824582,425.779,425.779
1769378345.1871877,420.792,420.792
1769378345.6874752,428.494,428.494
1769378346.2193136,444.535,444.535
1769378346.7196612,424.115,424.115
1769378347.2499015,415.163,415.163
1769378347.7500958,424.367,424.367
1769378348.2542603,415.236,415.236
1769378348.7550473,405.282,405.282
1769378349.2984784,415.328,415.328
1769378349.7987118,420.305,420.305
1769378350.3214943,414.928,414.928
1769378350.8216832,415.753,415.753
1769378351.321898,390.619,390.619
1769378351.825262,421.609,421.609
1769378352.365549,436.506,436.506
1769378352.8657758,441.299,441.299
1769378353.3672585,447.714,447.714
1769378353.9072237,442.545,442.545
1769378354.4083006,435.72,435.72
1769378354.9116,429.018,429.018
1769378355.4567366,442.512,442.512
1769378355.9569736,423.757,423.757
1769378356.4576561,420.982,420.982
1769378356.9624841,409.984,409.984
1769378357.4670272,420.367,420.367
1769378358.0133607,416.67,416.67
1769378358.518019,432.297,432.297
1769378359.0182571,436.476,436.476
1769378359.5633316,447.706,447.706
1769378360.0636435,412.688,412.688
1769378360.5642672,412.599,412.599
1769378361.1031823,435.514,435.514
1769378361.6112478,421.524,421.524
1769378362.1113899,438.591,438.591
1769378362.649426,431.531,431.531
1769378363.1495595,421.414,421.414
1769378363.6723611,419.129,419.129
1769378364.1732478,422.668,422.668
1769378364.673385,431.022,431.022
1769378365.1742473,428.394,428.394
1769378365.6773503,424.219,424.219
1769378366.2272966,424.208,424.208
1769378366.7302463,425.417,425.417
1769378367.2305717,425.717,425.717
1769378367.7307134,429.934,429.934
1769378368.2329292,423.645,423.645
1769378368.7332034,415.575,415.575
1769378369.2666163,410.001,410.001
1769378369.7672567,412.01,412.01
1769378370.293074,412.02,412.02
1769378370.7935605,425.51,425.51
1769378371.3075714,422.523,422.523
1769378371.8082998,422.948,422.948
1769378372.3152354,424.054,424.054
1769378372.8159072,420.572,420.572
1769378373.3219404,415.206,415.206
1769378373.8225882,424.802,424.802
1769378374.32662,430.938,430.938
1769378374.826822,420.798,420.798
1769378375.3302574,435.804,435.804
1769378375.8304396,425.981,425.981
1769378376.33101,412.9,412.9
1769378376.8312945,421.881,421.881
1769378377.3505757,421.39,421.39
1769378377.8507378,416.59,416.59
1769378378.3567643,416.769,416.769
1769378378.8985617,431.031,431.031
1769378379.456531,353.658,353.658
1769378379.956705,331.29,331.29
1769378380.4819942,400.394,400.394
1769378380.9821706,411.434,411.434
1769378381.484273,430.881,430.881
1769378382.0288813,419.901,419.901
1769378382.5293188,427.359,427.359
1769378383.0373156,418.174,418.174
1769378383.5375164,415.662,415.662
