timestamp,gpu_0_power_w,total_power_w
1769391854.8642943,123.876,123.876
1769391855.3644848,123.687,123.687
1769391855.864653,123.941,123.941
1769391856.3648388,124.413,124.413
1769391856.8650115,124.572,124.572
1769391857.365212,124.111,124.111
1769391857.8653917,123.711,123.711
1769391858.3655741,123.646,123.646
1769391858.8657315,123.974,123.974
1769391859.3659108,124.446,124.446
1769391859.8660586,124.387,124.387
1769391860.3662195,123.891,123.891
1769391860.8663998,123.638,123.638
1769391861.366639,123.817,123.817
1769391861.866866,124.315,124.315
1769391862.3670692,124.618,124.618
1769391862.8672502,124.206,124.206
1769391863.367415,123.726,123.726
1769391863.8675873,123.678,123.678
1769391864.3678005,123.963,123.963
1769391864.8679988,124.443,124.443
1769391865.368183,124.471,124.471
1769391865.8684447,123.912,123.912
1769391866.368733,123.616,123.616
1769391866.8689175,123.809,123.809
1769391867.3691483,124.311,124.311
1769391867.8694067,124.638,124.638
1769391868.369712,124.25,124.25
1769391868.8699348,123.761,123.761
1769391869.3701189,123.7,123.7
1769391869.8702981,124.019,124.019
1769391870.3705041,124.49,124.49
1769391870.8706949,124.514,124.514
1769391871.3708997,124.004,124.004
1769391871.8710845,123.753,123.753
1769391872.3712611,123.861,123.861
1769391872.871521,124.304,124.304
1769391873.3718812,124.638,124.638
1769391873.8721514,124.306,124.306
1769391874.3724499,123.838,123.838
1769391874.8727336,123.748,123.748
1769391875.3729842,124.009,124.009
1769391875.8732405,124.49,124.49
1769391876.373546,124.51,124.51
1769391876.8738003,123.965,123.965
1769391877.3740861,123.702,123.702
1769391877.8743489,123.794,123.794
1769391878.3745868,124.213,124.213
1769391878.8748188,124.553,124.553
1769391879.3749857,124.29,124.29
1769391879.8751485,123.814,123.814
1769391880.3754165,123.688,123.688
1769391880.8756757,123.932,123.932
1769391881.3759346,124.401,124.401
1769391881.8762,124.443,124.443
1769391882.3765376,123.929,123.929
1769391882.876897,123.654,123.654
1769391883.3771503,123.745,123.745
1769391883.8774157,124.151,124.151
1769391884.377702,124.517,124.517
1769391884.8780582,124.248,124.248
1769391885.3784304,123.775,123.775
1769391885.8786826,123.67,123.67
1769391886.379002,123.943,123.943
1769391886.8793476,124.382,124.382
1769391887.3795853,124.501,124.501
1769391887.8798516,123.969,123.969
1769391888.3801098,123.643,123.643
1769391888.880358,123.774,123.774
1769391889.3806014,124.198,124.198
1769391889.8808546,124.587,124.587
1769391890.3811893,124.228,124.228
1769391890.881515,123.732,123.732
1769391891.381749,123.638,123.638
1769391891.8819897,123.902,123.902
1769391892.382244,124.373,124.373
1769391892.8824599,124.413,124.413
1769391893.3826468,123.9,123.9
1769391893.8828483,123.613,123.613
1769391894.3830562,123.752,123.752
1769391894.8832083,124.188,124.188
1769391895.383418,124.558,124.558
1769391895.8836563,124.175,124.175
1769391896.3839598,123.686,123.686
1769391896.8842757,123.65,123.65
1769391897.384514,123.976,123.976
1769391897.8847466,124.402,124.402
1769391898.3849835,124.433,124.433
1769391898.8852222,123.91,123.91
1769391899.385463,123.609,123.609
1769391899.8857195,123.738,123.738
1769391900.3859742,124.135,124.135
1769391900.88622,124.496,124.496
1769391901.3865037,124.137,124.137
1769391901.8867784,123.664,123.664
1769391902.3870256,123.638,123.638
1769391902.8872952,123.971,123.971
1769391903.3875852,124.461,124.461
1769391903.8878496,124.445,124.445
1769391904.3881125,123.835,123.835
1769391904.8883748,123.574,123.574
1769391905.3886366,123.717,123.717
1769391905.8889003,124.177,124.177
1769391906.3891695,124.478,124.478
1769391906.889405,124.029,124.029
1769391907.3896708,123.647,123.647
1769391907.8898427,123.67,123.67
1769391908.3900115,123.997,123.997
1769391908.8901694,124.425,124.425
1769391909.3903444,124.251,124.251
1769391909.8905087,123.752,123.752
1769391910.390672,123.559,123.559
1769391910.8908367,123.79,123.79
1769391911.3910232,124.277,124.277
1769391911.8911862,124.435,124.435
1769391912.3913953,123.916,123.916
1769391912.8915713,123.543,123.543
1769391913.3917484,123.621,123.621
1769391913.8919642,124.016,124.016
1769391914.3922577,124.394,124.394
1769391914.8925169,124.125,124.125
1769391915.392716,123.634,123.634
1769391915.8929017,123.552,123.552
1769391916.3931108,123.849,123.849
1769391916.8933175,124.312,124.312
1769391917.39358,124.371,124.371
1769391917.8937554,123.864,123.864
1769391918.393974,123.555,123.555
1769391918.894191,123.662,123.662
1769391919.3943799,124.056,124.056
1769391919.8945682,124.416,124.416
1769391920.3947961,124.107,124.107
1769391920.8950338,123.657,123.657
1769391921.3952022,123.591,123.591
1769391921.8953946,123.882,123.882
1769391922.3956196,124.344,124.344
1769391922.8958218,124.318,124.318
1769391923.3960087,123.88,123.88
1769391923.8962028,123.505,123.505
1769391924.3964388,123.616,123.616
1769391924.89659,124.126,124.126
1769391925.39677,124.444,124.444
1769391925.8969524,124.102,124.102
1769391926.3971741,123.646,123.646
1769391926.897371,123.568,123.568
1769391927.3975666,123.907,123.907
1769391927.897782,124.378,124.378
1769391928.3980052,124.321,124.321
1769391928.8982842,123.784,123.784
1769391929.398565,123.549,123.549
1769391929.8988345,123.755,123.755
1769391930.3990839,124.228,124.228
1769391930.89928,124.478,124.478
1769391931.399516,124.035,124.035
1769391931.8997684,123.67,123.67
1769391932.3999481,123.729,123.729
1769391932.9001062,124.119,124.119
1769391933.4002671,124.493,124.493
1769391933.9004166,124.292,124.292
1769391934.40058,123.789,123.789
1769391934.9007344,123.616,123.616
1769391935.400892,123.938,123.938
1769391935.90106,124.394,124.394
1769391936.401265,124.476,124.476
1769391936.9014237,123.965,123.965
1769391937.4015913,123.581,123.581
1769391937.9017522,123.761,123.761
1769391938.4019394,124.253,124.253
1769391938.9021614,124.541,124.541
1769391939.402384,124.131,124.131
1769391939.9025464,123.664,123.664
